feature,importance
Offset,0.45260163963961547
sMeanPktSz,0.07892447107613178
sTtl,0.0748959387564931
sHops,0.04124932063390846
TcpRtt,0.03414975967526042
State,0.03337335667606273
AckDat,0.024112726980330224
SynAck,0.023118142318543852
Proto,0.02141640229867703
SrcBytes,0.020438444943133866
TotBytes,0.019946773818609785
SrcRate,0.018230189867485452
Max,0.01730956564674275
Load,0.017126697756815495
Dur,0.01636738735156552
SrcLoad,0.01599021836433617
Rate,0.013828793953339205
RunTime,0.01351977396905052
Cause,0.013064629694042007
Min,0.012817694204860381
Mean,0.0106637796930205
Sum,0.006886727387900908
DstPkts,0.00366122146300309
TotPkts,0.0033742669616076714
DstBytes,0.003161663014541387
dMeanPktSz,0.0018589868453740416
SrcLoss,0.0018295701188081911
DstRate,0.0016362419154628688
SrcPkts,0.0015667958811223092
pLoss,0.0010179800157246502
Loss,0.0006910277773633787
DstLoad,0.000627136308125012
sDSb,0.00046477813190846945
sTos,7.789686103338421e-05
DstLoss,0.0
