Offset,sMeanPktSz,sTtl,sHops,TcpRtt,State,AckDat,SynAck,Proto,SrcBytes,TotBytes,SrcRate,Max,Load,Dur,SrcLoad,Rate,RunTime,Cause,Min,is_attack,Label,split
175604,245.5,64.0,0.0,0.0,1,0.0,0.0,4,2455,6739,69.289932,0.129889,370654.9688,0.129889,136116.2188,138.579865,0.129889,1,0.129889,0,Benign,train
34296260,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387658,2.57959,130.25325,2.57959,130.25325,0.387658,2.57959,2,2.57959,0,Benign,test
774548,98.0,64.0,0.0,0.014912,3,0.013555,0.001357,3,1078,5617,59.595112,0.167799,243481.7969,0.167799,46722.56641,125.149734,0.167799,1,0.167799,0,Benign,train
229784,85.0,64.0,0.0,0.0,1,0.0,0.0,4,85,220,0.0,0.001445,0.0,0.001445,0.0,692.041565,0.001445,1,0.001445,0,Benign,validation
33002592,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
35341300,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
18144276,42.0,63.0,1.0,0.0,4,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
19075888,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.386846,2.585007,129.980301,2.585007,129.980301,0.386846,2.585007,1,2.585007,0,Benign,train
16789024,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
4604300,150.5,64.0,0.0,0.0,1,0.0,0.0,4,301,439,13.524662,0.073939,23803.4043,0.073939,16337.79102,40.573986,0.073939,2,0.073939,0,Benign,train
19153248,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.385476,2.594193,129.52005,2.594193,129.52005,0.385476,2.594193,1,2.594193,0,Benign,validation
25685832,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
38386428,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
1129772,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
32196404,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387452,2.580964,130.183914,2.580964,130.183914,0.387452,2.580964,2,2.580964,0,Benign,test
38407940,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,validation
33928080,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387765,2.578879,130.289169,2.578879,130.289169,0.387765,2.578879,2,2.578879,0,Benign,train
17058516,42.0,63.0,1.0,0.0,4,0.0,0.0,4,84,84,0.359852,2.778921,120.91024,2.778921,120.91024,0.359852,2.778921,1,2.778921,0,Benign,train
250804,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
138716,98.0,58.0,6.0,0.0,2,0.0,0.0,0,98,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
35434844,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,test
1111388,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
912456,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,train
23766056,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
36008260,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
31609320,42.0,63.0,1.0,0.0,6,0.0,0.0,4,84,84,0.387274,2.582154,130.123917,2.582154,130.123917,0.387274,2.582154,2,2.582154,0,Benign,train
51904,102.0,252.0,4.0,0.0,1,0.0,0.0,2,102,200,0.0,0.000116,0.0,0.000116,0.0,8620.689453,0.000116,2,0.000116,0,Benign,train
5332860,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,test
6961964,176.666672,64.0,0.0,0.0,1,0.0,0.0,4,530,730,30.320946,0.065961,59186.48438,0.065961,42934.46094,75.802361,0.065961,2,0.065961,0,Benign,train
34531612,42.0,63.0,1.0,0.0,6,0.0,0.0,4,42,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0,Benign,train
16648436,74.0,249.0,7.0,0.0,4,0.0,0.0,4,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,Benign,validation
